Anyone can do that.	任何人都可以做到。
How about another piece of cake?	要不要再來一塊蛋糕？
She married him.	她嫁給了他。
I don't like learning irregular verbs.	我不喜歡學習不規則動詞。
It's a whole new ball game for me.	這對我來說是個全新的球類遊戲。
He's sleeping like a baby.	他正睡着，像個嬰兒一樣。
He can play both tennis and baseball.	他既會打網球，又會打棒球。
We should cancel the hike.	我們應該取消這次遠足。
He is good at dealing with children.	他擅長應付小孩子。
She will do her best to be here on time.	她會盡量按時趕來的。
Why are you so good at cooking?	爲什麼你做飯那麼拿手呢？
He has recovered from his bad cold.	他從重感冒中恢復了過來。
It's a dead end.	這是個死衚衕。
I rejected the offer.	我拒絕了報價。
He often quotes Milton.	他常引用米爾頓。
Mommy, may I go swimming?	媽咪，我可以去游泳嗎？
Miyazaki is not what it used to be.	宮崎不是它往日的樣子了。
People must love one another.	人要愛他人。
Where do you have pain?	你哪裡痛？
Keep oil away from the fire.	讓油遠離火。
This is never going to end.	這將永遠繼續下去。
He had a hungry look.	他面有飢色
I don't know which button to push.	我不知道要按哪個按鈕。
He heard the news on the radio.	他從收音機聽到了這個消息。
Don't leave the water running.	不要讓水一直流。
I'm opposed to any type of war.	我反對任何形式的戰爭。
I had a hard day.	我過了難捱的一天。
He will succeed to the throne.	他會繼承王位。
Please give me something hot to drink.	請給我一些熱的東西喝。
Have fun.	玩得開心。
The library is on the second floor.	圖書館在二樓。
Look at me with your books closed.	把你的書閤起來看著我。
I still love him.	我依舊愛着他。
His low salary prevents him from buying the house.	他的低薪水讓他買不了房。
Hang your coat on the hook.	把你的外套掛在鉤子上。
I can't understand his feelings.	我不明白他的感受。
She didn't try to hide the truth.	她沒有試圖掩蓋真相。
Dad bought me a camera.	爸爸給我買了一個照相機。
I love her and she loves me.	我愛她，她也愛我。
The boy has learned to read.	男孩學會了閱讀。
You are irresistible.	你是不可抗拒的。
It was heartless of him to say such a thing to the sick man.	他對一個生病的男人說這種事真是沒良心。
He calls her up every night.	他每天晚上打電話給她。
They left one after another.	他們一個接着一個地離開了。
Father always has the tailor make his suits.	父親總是讓這位裁縫師為他做西裝。
We got him to carry our bag.	我們讓他幫我們拿袋子。
He drove the truck to Dallas.	他開卡車到達拉斯。
The baby smiled at me.	寶寶對我笑了。
Did he propose to you?	他向你求婚了嗎？
Cheese is made from milk.	奶酪是用奶做成的。
I help my mother with the housework every day.	我每天都幫我媽做家務。
I spoke with him about the matter.	我跟他談過這個問題。
The friend who I thought would pass the exam failed it.	那個我認爲會通過考試的朋友失敗了。
They are very big apples.	他們是非常大的蘋果。
How dare you!	你敢！
He must have taken the wrong train.	他一定是搭錯火車了。
I understand how to solve the problem.	我明白怎麼解決問題。
How many children do you have?	你有幾個小孩?
He no longer lives here.	他不再住在這裡了。
He is the same age as me.	他和我同歲。
Industry as we know it today didn't exist in those days.	我們今天所認識的工業在那個時代不存在。
That boy used to drop in on me.	那男孩兒來訪過我家。
I think you'll have very little difficulty in getting a driver's license.	我想你要拿到駕照根本不難。
Run.	你用跑的。
He told me to do it, so I did it.	他讓我做，我就做了。
That is not my line.	這不是我拿手的。
She lives in a large house.	她住在一棟大房子裡。
A doctor told me that eating eggs was bad for me.	一位醫生告訴過我，吃雞蛋對我的健康有害。
She asked him to open the window.	她請他打開窗口。
She has a flower in her hand.	她手上有一朵花。
I have just finished my homework.	我剛剛完成我的作業。
You look pale today.	你今天看上去很蒼白。
I'm counting how many people there are.	我正在算有多少人在那裡。
I felt that my honor was at stake.	我覺得我的名譽受到了威脅。
Money isn't the only thing that matters.	不只是錢關係重大。
Tom just never should've done that.	湯姆就不該做那事。
I don't want there to be any misunderstanding.	我不想有任何誤會。
He may not be happy.	他可能不高興。
The hunter shot the fox dead.	獵人射殺了狐狸。
He goes to school to study every day.	他每天去學校學習。
I spent last Sunday reading a novel.	我上週日花時間看了一本小說。
Mary closed the door quietly.	瑪麗悄悄地關上了門。
You smoke far too much. You should cut back.	你吸太多煙了。你應該少抽一點。
I wish I could have spoken Spanish.	要是我會說西班牙語就好了。
There's nothing I wouldn't do for Tom.	沒有我不會給湯姆做的事。
Tom was making French fries.	湯姆想做炸薯條。
I study for 3 hours every day.	我每天讀書三個小時。
He was home alone at the time.	他當時一個人在家。
I'm tired of listening to his boasts.	我厭倦了聽他吹噓。
Because of heavy snow, the plane from Beijing arrived 20 minutes late.	由於下大雪，從北京來的班機延遲二十分鐘。
You may use my new car.	你可以使用我的新車。
Where is the vodka?	伏特加在哪裏？
If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.	如果一個人在成人前沒有機會習得目標語言，他對該語言的認識達到母語者程度的機會是相當小的。
He hurried so he wouldn't miss the train.	湯姆加緊步伐以不錯過火車。
Don't go out after dark.	天黑以後不要出門。
They arrived here safely yesterday.	他們昨天平安抵達這裡。
None of those books are useful.	這些書裡沒有一本是有用的。
I just said something very stupid.	我剛說了很蠢的話。
If I were you, I'd want to know what Tom is doing right now.	如果我是你，我不會想去知道Tom現在正在做什麼。
I often went fishing with him.	我經常和他去釣魚。
I hope we find Tom.	我希望我們能找到湯姆。
You used to be able to see the church from here.	你以前可以從這裡看到教堂。
Can we do it?	我們能做到嗎？
I've never told anyone about this.	我沒跟任何人說過這個。
One thousand dollars will cover all the expenses for the party.	1000美元將負擔聚會的全部費用。
Fire is always dangerous.	火總是危險的。
The meeting was called off.	會議取消了。
They welcomed me warmly, so I felt at home.	他們這麼熱情的歡迎我，讓我感覺家人一樣。
Tom pulled Mary out of the water.	Tom 把Mary拉出水
I have class tomorrow.	我明天有課。
